Index,Date,Close
SP500,2019-10-29,-0.000832752
SP500,2019-10-30,0.003248089
SP500,2019-10-31,-0.003027439
SP500,2019-11-01,0.009615931
SP500,2019-11-04,0.003697246
SP500,2019-11-05,-0.001186403
SP500,2019-11-06,0.000702251
SP500,2019-11-07,0.002726375
SP500,2019-11-08,0.002557403
SP500,2019-11-11,-0.001964395
SP500,2019-11-12,0.001563423
SP500,2019-11-13,0.000711282
SP500,2019-11-14,0.000836693
SP500,2019-11-15,0.007666029
SP500,2019-11-18,0.000503026
SP500,2019-11-19,-0.00059277
SP500,2019-11-20,-0.003763256
SP500,2019-11-21,-0.001584006
SP500,2019-11-22,0.002172574
SP500,2019-11-25,0.007479252
SP500,2019-11-26,0.002193164
SP500,2019-11-27,0.004165736
SP500,2019-11-29,-0.004019286
SP500,2019-12-02,-0.008668484
SP500,2019-12-03,-0.006660225
SP500,2019-12-04,0.006303658
SP500,2019-12-05,0.001499127
SP500,2019-12-06,0.009094246
SP500,2019-12-09,-0.003167834
SP500,2019-12-10,-0.001097536
SP500,2019-12-11,0.002903938
SP500,2019-12-12,0.008538667
SP500,2019-12-13,7.25792E-05
SP500,2019-12-16,0.007122361
SP500,2019-12-17,0.000335236
SP500,2019-12-18,-0.000432394
SP500,2019-12-19,0.004449379
SP500,2019-12-20,0.004932596
SP500,2019-12-23,0.000865769
SP500,2019-12-24,-0.000195467
SP500,2019-12-26,0.005115062
SP500,2019-12-27,3.39841E-05
SP500,2019-12-30,-0.005797596
SP500,2019-12-31,0.002941691
SP500,2020-01-02,0.008343895
SP500,2020-01-03,-0.007084909
SP500,2020-01-06,0.003527145
SP500,2020-01-07,-0.002807175
SP500,2020-01-08,0.004890473
SP500,2020-01-09,0.006633214
SP500,2020-01-10,-0.002859262
SP500,2020-01-13,0.006951994
SP500,2020-01-14,-0.001515681
SP500,2020-01-15,0.00186845
SP500,2020-01-16,0.008331747
SP500,2020-01-17,0.003854723
SP500,2020-01-21,-0.0026555
SP500,2020-01-22,0.000289034
SP500,2020-01-23,0.001140326
SP500,2020-01-24,-0.009083289
SP500,2020-01-27,-0.015855752
SP500,2020-01-28,0.010003384
SP500,2020-01-29,-0.00086725
SP500,2020-01-30,0.003129457
SP500,2020-01-31,-0.017864444
SP500,2020-02-03,0.007228426
SP500,2020-02-04,0.014869316
SP500,2020-02-05,0.011187779
SP500,2020-02-06,0.003320155
SP500,2020-02-07,-0.005415491
SP500,2020-02-10,0.00729969
SP500,2020-02-11,0.001687049
SP500,2020-02-12,0.006441853
SP500,2020-02-13,-0.001631776
SP500,2020-02-14,0.001841836
SP500,2020-02-18,-0.002924214
SP500,2020-02-19,0.004694748
SP500,2020-02-20,-0.003822817
SP500,2020-02-21,-0.010573809
SP500,2020-02-24,-0.034088079
SP500,2020-02-25,-0.030747904
SP500,2020-02-26,-0.003785697
SP500,2020-02-27,-0.045168136
SP500,2020-02-28,-0.008272463
SP500,2020-03-02,0.045010869
SP500,2020-03-03,-0.028510485
SP500,2020-03-04,0.041336349
SP500,2020-03-05,-0.034510782
SP500,2020-03-06,-0.017200944
SP500,2020-03-09,-0.079010413
SP500,2020-03-10,0.048215052
SP500,2020-03-11,-0.050102893
SP500,2020-03-12,-0.099944852
SP500,2020-03-13,0.088808407
SP500,2020-03-16,-0.127652197
SP500,2020-03-17,0.058226313
SP500,2020-03-18,-0.053222272
SP500,2020-03-19,0.004696761
SP500,2020-03-20,-0.044327624
SP500,2020-03-23,-0.029731501
SP500,2020-03-24,0.089683233
SP500,2020-03-25,0.01146899
SP500,2020-03-26,0.060543831
SP500,2020-03-27,-0.034267846
SP500,2020-03-30,0.032966591
SP500,2020-03-31,-0.016142311
SP500,2020-04-01,-0.045146363
SP500,2020-04-02,0.022572657
SP500,2020-04-03,-0.015252861
SP500,2020-04-06,0.067968244
SP500,2020-04-07,-0.001604339
SP500,2020-04-08,0.033489371
SP500,2020-04-09,0.01438347
SP500,2020-04-13,-0.010156059
SP500,2020-04-14,0.03011456
SP500,2020-04-15,-0.022276733
SP500,2020-04-16,0.005799838
SP500,2020-04-17,0.026440932
SP500,2020-04-20,-0.018042846
SP500,2020-04-21,-0.031155115
SP500,2020-04-22,0.022671301
SP500,2020-04-23,-0.000539568
SP500,2020-04-24,0.013822091
SP500,2020-04-27,0.014606868
SP500,2020-04-28,-0.00525617
SP500,2020-04-29,0.026236704
SP500,2020-04-30,-0.009255143
SP500,2020-05-01,-0.028460211
SP500,2020-05-04,0.004240823
SP500,2020-05-05,0.008999935
SP500,2020-05-06,-0.00700388
SP500,2020-05-07,0.011438956
SP500,2020-05-08,0.016730795
SP500,2020-05-11,0.000133069
SP500,2020-05-12,-0.020713366
SP500,2020-05-13,-0.017616997
SP500,2020-05-14,0.011458918
SP500,2020-05-15,0.003918675
SP500,2020-05-18,0.031015209
SP500,2020-05-19,-0.010539748
SP500,2020-05-20,0.016513991
SP500,2020-05-21,-0.007803968
SP500,2020-05-22,0.002350946
SP500,2020-05-26,0.012214285
SP500,2020-05-27,0.014718447
SP500,2020-05-28,-0.002110139
SP500,2020-05-29,0.004800794
SP500,2020-06-01,0.003744216
SP500,2020-06-02,0.008177307
SP500,2020-06-03,0.013556671
SP500,2020-06-04,-0.003374389
SP500,2020-06-05,0.025874013
SP500,2020-06-08,0.011969656
SP500,2020-06-09,-0.007829743
SP500,2020-06-10,-0.005327256
SP500,2020-06-11,-0.060752693
SP500,2020-06-12,0.012976287
SP500,2020-06-15,0.008277861
SP500,2020-06-16,0.018784853
SP500,2020-06-17,-0.003606796
SP500,2020-06-18,0.000594043
SP500,2020-06-19,-0.005665514
SP500,2020-06-22,0.006474093
SP500,2020-06-23,0.004298169
SP500,2020-06-24,-0.026195266
SP500,2020-06-25,0.010899828
